"","Location","cig_smoke","toba_smoke","toba_use","HealyWarningsOnSmoking","MostSoldBrandCigaretteCurrency","MostSoldBrandCigarettePrice","TreatmentInHealthFacilities","BanOnEducationalFacilites","BanOnGovernmentFacilites","BanOnHealthcareFacilites","BanOnIndoorOffices","BanOnPublicTransport","BanOnPubsAndBars","BanOnRestaurants","BanOnUniversities","RegulationsOnSmokeFreeEnvironments","Year"
"119","Azerbaijan",16.8,21.1,21.1,"Not applicable","AZN","1.4","No","5","Not applicable","3","Not applicable","Not applicable","Not applicable","Not applicable","2","3",2014
"120","Bahamas",2.7,18.5,18.5,"Not applicable","BSD","7","Yes in some","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2014
"121","Bahrain",14,34.1,41.9,"Not applicable","BHD","1","Yes in most","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2014
"122","Bangladesh",19.1,22.6,41.1,"No","BDT","30","Yes in some","7","Not applicable","7","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","5",2014
"123","Barbados",10.3,2.2,2.4,"Not applicable","BBD","13.85","No","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available","Not available",2014
"124","Belarus",26.7,28.7,28.7,"Not applicable","BYR","7,050","Yes in some","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2014
"125","Belgium",24.2,25.9,25.9,"No","EUR","5.79","Yes in some","Not applicable","Not applicable","Not applicable","Not applicable","10","Not applicable","Not applicable","Not applicable","8",2014
"126","Benin",4.5,12.4,2.5,"No","XOF","500","No","4","10","0","10","5","Not applicable","Not applicable","5","4",2014
"127","Bosnia and Herzegovina",32.3,39.7,39.7,"Not applicable","BAM","3.7","Yes in most","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2014
"128","Botswana",25.7,32.8,24.9,"Not applicable","BWP","27.33","Yes in some","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable",2014
"129","Brazil",17.2,15.2,19.2,"No","BRL","5.75","Yes in some","x","x","x","x","10","x","x","x","10",2014
"130","Brunei Darussalam",2.3,2.9,2.9,"No","Not applicable","Not applicable","Yes in some","10","8","10","10","10","8","7","8","7",2014
